Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C5, C7",0402,5,100nF,C307331
"C11, C6",0402,2,4.7uF,C23733
"C2, C3, C9",0402,3,1uF,C52923
C8,0402,1,10nF,C15195
D1,0402,1,User3,C883173
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D5, D6, D7, D8, D9",0402,18,BACKL,C883173
D2,0402,1,User2,C883173
D3,0402,1,User1,C883173
D4,0402,1,CAPS,C883173
"D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_7, D_8, D_9",D_SOD-523,68,D,C5345964
F1,0603,1,500mA,C210357
Q1,SOT-23,1,IRLML6244,C5364313
R1,0402,1,10k,C25744
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R3, R4, R5, R6, R7, R8, R9",0402,18,30Ω,C1091
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U3,SOT-23,1,XC6206,C5446
